Event,Publish?,Event Start,Event End,Location,Event Description,Traffic restrictions,GIS location,Advanced notification letter available Y>N,Event times ,Contact/hotline number,Event Venue,Link to letter ,Event website,,,,,,
Hongdae in Adelaide 2025,,01/11/25,02/11/25,Eliza Street,Korean Street food event involving a closure of a portion of Eliza Street.,Entire Eliza Street between 9pm on Fri 31 Oct 2025 until 8am on Sun 2 Nov 2025,"https://www.google.com/maps/@-34.9266251,138.5956274,88m/data=!3m1!1e3?entry=ttu&g_ep=EgoyMDI1MDkwNy4wIKXMDSoASAFQAw%3D%3D",TBA,11:30-02:00,,27,,N/A,,,,,,
Sony Music Pop-up Shop 2025,,04/11/25,06/11/25,Gilles Arcade;  Playhouse Lane,Event in the Queens Theatre with a road closure out front of the venue,"From 06:00 am on Tuesday 4 November 2025 to 08:00 pm Thursday 6 November 2025, portion of Playhouse Lane & Gilles Arcade will be closed.","https://www.google.com/maps/@-34.9252499,138.5955525,88m/data=!3m1!1e3?entry=ttu&g_ep=EgoyMDI1MDkwNy4wIKXMDSoASAFQAw%3D%3D",TBA,09:00-19:00,,28,,https://www.thequeensadelaide.com.au/eventsatthequeens,,,,,,
Metallica M72 World Tour,,05/11/25,05/11/25,Adelaide Oval (Park 26),Rugby Union International,"Road Closure Schedule: 

Between 12 noon and midnight pm on Wednesday 5 November 2025, the following road will be closed: 

•	War Memorial Drive between Riverbank Footbridge and King William Road. 

Between 10:00 pm and midnight on Wednesday 5 November 2025, the following roads will be closed:

•	King William Street (northbound carriageways) between Currie Street and North Terrace. 
•	King William Road between North Terrace and Pennington Terrace. 
•	Festival Drive from King William Road to a point 80 meters west. 
•	Sir Edwin Smith Avenue between Kermode Street and King William Road. 
•	Victoria Drive between Kintore Avenue and King William Road. 
•	War Memorial Drive from Edwin Smith Avenue to a point 180 meters east.  
•	Pennington Terrace between Palmer Place and King William Road. 
•	Abbot Lane from Pennington Terrace to a point 20 meters north. 

Between 10:15 pm and midnight on Wednesday 5 November 2025, the following road will be closed:

•	North Terrace between Victoria Street and King William Road. 
","https://www.google.com/maps/@-34.9154636,138.5958858,88m/data=!3m1!1e3?entry=ttu&g_ep=EgoyMDI1MDkwNy4wIKXMDSoASAFQAw%3D%3D",TBA,14:00-22:00,,29,,https://www.adelaideoval.com.au,,,,,,
Melbourne Cup on Vardon Ave,,05/11/25,05/11/25,Vardon Avenue,Annual Melbourne Cup Lunch,"Road Closure Schedule: 

Between 6:00pm Monday 4 November and 9:00pm on Tuesday 5 November 2024, the following road will be closed: 

•	Vardon Avenue, Adelaide between East Terrace and Rundle Street","https://www.google.com/maps/@-34.9228753,138.6100431,88m/data=!3m1!1e3?entry=ttu&g_ep=EgoyMDI1MDkwNy4wIKXMDSoASAFQAw%3D%3D",TBA,12:00-17:00,,30,,N/A,,,,,,
Metallica at Queen's Head Hotel- Pending application,,05/11/25,05/11/25,Abbott Lane,Laneway activation.,"Abbott Lane from Kermode Street and a point 50 meters south
Clsoed between 2:00 pm and 8:30 pm on Saturday 12 July 2025 

","https://www.google.com/maps/@-34.9117277,138.5967426,88m/data=!3m1!1e3?entry=ttu&g_ep=EgoyMDI1MDkwNy4wIKXMDSoASAFQAw%3D%3D",TBA,11:30-20:30,,31,,N/A,,,,,,
Vardon Summer Series 2025/26,,07/11/25,07/11/25,Vardon Avenue,Annual street summer series,"Road Closure Schedule: 

Between 4:00pm and 11:59pm on Friday 8 November 2024, the following road will be closed: 

•	Vardon Avenue, Adelaide between East Terrace and Rundle Street
","https://www.google.com/maps/@-34.9228685,138.6101466,88m/data=!3m1!1e3?entry=ttu&g_ep=EgoyMDI1MDkwNy4wIKXMDSoASAFQAw%3D%3D",TBA,16:00-23:59,,32,,N/A,,,,,,
National Pharmacies Christmas Pageant 2025,,08/11/25,08/11/25,Blue Gum Park / Kurangga (Park 20);  Currie St;  Elder Park (Park 26);  Gawler Place;  Gouger Street;  Hindley Street;  Hindmarsh Square / Mukata;  King William Road;  King William Street;  Light Square / Wauwi;  North Terrace;  Peacock Road;  Pulteney Street;  Reconciliation Plaza;  Red Gum Park / Karrawirra (Park 12);  Rundle Street;  South Terrace;  Victoria Square / Tarntanyangga;  Victoria Square / Tarntanyangga;  Wakefield Street,Annual Christmas Pageant,TBA,"https://www.google.com/maps/@-34.9235259,138.5995309,88m/data=!3m1!1e3?entry=ttu&g_ep=EgoyMDI1MDkwNy4wIKXMDSoASAFQAw%3D%3D",TBA,09:30-13:00,,33,,https://www.christmaspageant.com.au,,,,,,
Vardon Summer Series 2025/26,,08/11/25,08/11/25,Vardon Avenue,Annual street summer series,"Road Closure Schedule: 

Between 4:00pm and 11:59pm on Saturday 9 November 2024, the following road will be closed: 

•	Vardon Avenue, Adelaide between East Terrace and Rundle Street","https://www.google.com/maps/@-34.9228917,138.6099845,88m/data=!3m1!1e3?entry=ttu&g_ep=EgoyMDI1MDkwNy4wIKXMDSoASAFQAw%3D%3D",TBA,16:00-23:59,,34,,N/A,,,,,,
Grattan Street Greek Festival,,08/11/25,08/11/25,Grattan Street,Greek Festival,"From 8:00pm and 10:30pm 
Franklin St (btwn Gray St and West Tce), Waymouth St (btwn Shannon Pl and West Tce), Gray St, Grattan St from 8pm to 10pm","https://www.google.com/maps/@-34.9270481,138.588484,88m/data=!3m1!1e3?entry=ttu&g_ep=EgoyMDI1MDkwNy4wIKXMDSoASAFQAw%3D%3D",TBA,11:45-13:00,,35,,N/A,,,,,,
Remembrance Day 2025,,11/11/25,11/11/25,Kintore Avenue;  North Terrace;  Red Gum Park / Karrawirra (Park 12),Annual Remembrance Day event,North Terrace (between King William and Pultney Street) and Kintore Avenue from 10.45am to11.15am on 11 Novmeber 2025,"https://www.google.com/maps/@-34.9214378,138.6018515,88m/data=!3m1!1e3?entry=ttu&g_ep=EgoyMDI1MDkwNy4wIKXMDSoASAFQAw%3D%3D",TBA,10:45-11:15,,36,,N/A,,,,,,
World Volleyball Championships,,14/11/25,23/11/25,Elder Park (Park 26);  Memorial Drive Tennis Centre;  Pinky Flat (Park 26);  Red Gum Park / Karrawirra (Park 12); War Memorial Drive,Beach Volleyball World Championships will descend on Adelaide in 2025 with the worlds-best 192 women and men from around the globe playing in the heart of the city alongside the northern riverbank.,"War Memorial Drive, between Adelaide Oval loading dock and entrance to Next Generation Gym will be closed: from 6.00am on Thursday 13 November 2025 to 5.00pm on Monday 24 November 2025.

","https://www.google.com/maps/@-34.9182642,138.5983223,105m/data=!3m1!1e3?entry=ttu&g_ep=EgoyMDI1MDkwNy4wIKXMDSoASAFQAw%3D%3D",TBA,08:00-17:00,,37,,https://adelaide2025.volleyball.org.au/,,,,,,
Vardon Summer Series 2025/26,,14/11/25,14/11/25,Vardon Avenue,Annual street summer series,"Road Closure Schedule: 

Between 4:00pm and 11:59pm on Friday 15 November 2024, the following road will be closed: 

•	Vardon Avenue, Adelaide between East Terrace and Rundle Street","https://www.google.com/maps/@-34.92286,138.6100885,88m/data=!3m1!1e3?entry=ttu&g_ep=EgoyMDI1MDkwNy4wIKXMDSoASAFQAw%3D%3D",TBA,16:00-23:59,,38,,N/A,,,,,,
Women's Big Bash League 2025,,14/11/25,14/12/25,Gladys Elphick Park / Narnungga (Park 25),Womens Big Bash League 2025/26 season,N/A,"https://www.google.com/maps/@-34.9226874,138.5833873,88m/data=!3m1!1e3?entry=ttu&g_ep=EgoyMDI1MDkwNy4wIKXMDSoASAFQAw%3D%3D",TBA,08:00-20:00,,39,,https://www.bigbash.com.au/,,,,,,
Christmas Tree Lighting 2025,,15/11/25,15/11/25,Victoria Square / Tarntanyangga,Annual City of Adelaide Christmas tree lighting event,"Reconciliation Plaza on 15 November, time TBC","https://www.google.com/maps/@-34.9282839,138.5997797,88m/data=!3m1!1e3?entry=ttu&g_ep=EgoyMDI1MDkwNy4wIKXMDSoASAFQAw%3D%3D",TBA,08:00-21:00,,40,,https://www.cityofadelaide.com.au/adelaides-christmas-festival/giant-christmas-tree/,,,,,,
Our Sounds 2025,,15/11/25,06/12/25,Bonython Park / Tulya Wardli (Park 27),Music Concert,N/A,"https://www.google.com/maps/@-34.9168978,138.5806302,88m/data=!3m1!1e3?entry=ttu&g_ep=EgoyMDI1MDkwNy4wIKXMDSoASAFQAw%3D%3D",TBA,15:00-23:00,,41,,N/A,,,,,,
Vardon Summer Series 2025/26,,15/11/25,15/11/25,Vardon Avenue,Annual street summer series,"Road Closure Schedule: 

Between 4:00pm and 11:59pm on Saturday 16 November 2024, the following road will be closed: 

•	Vardon Avenue, Adelaide between East Terrace and Rundle Street","https://www.google.com/maps/@-34.9228998,138.6101936,88m/data=!3m1!1e3?entry=ttu&g_ep=EgoyMDI1MDkwNy4wIKXMDSoASAFQAw%3D%3D",TBA,16:00-23:59,,42,,N/A,,,,,,
Vardon Summer Series 2025/26,,21/11/25,21/11/25,Vardon Avenue,Annual street summer series,"Road Closure Schedule: 

Between 4:00pm and 11:59pm on Friday 22 November 2024, the following road will be closed: 

•	Vardon Avenue, Adelaide between East Terrace and Rundle Street","https://www.google.com/maps/@-34.9228671,138.6099562,88m/data=!3m1!1e3?entry=ttu&g_ep=EgoyMDI1MDkwNy4wIKXMDSoASAFQAw%3D%3D",TBA,16:00-23:59,,43,,N/A,,,,,,
BP Adelaide Grand Final 2025,,21/11/25,04/12/25,Bartels Road;  East Terrace;  Hutt Street;  Wakefield Road,Event road closures. Concert closures to be added.,"From 9:00 am on Monday 17 November 2025 to 6:00 am and Thursday 4 December 2025, the following road will be closed.  

•	Harvey Street from East Terrace to a point 7 meters south. 

From 6:00 am on Friday 21 November 2025 to 6:00 am on Tuesday 2 December 2025, the following roads will be closed.  

•	Bartels Road between East Terrace and Dequetteville Terrace. 
•	Hutt Street between Ifould Street and Bartels Road/Pirie Street. 
•	Flinders Street from Hutt Street to a point 33.97 meters west.  
•	Tucker Street from Hutt Street to a point 22.90 meters west. 
•	Pirie Street from Hutt Street to a point 63.18 meters west. 
•	East Terrace between Pirie Street and Grenfell Street. 

From 6:00 am on Friday 21 November 2025 to 6:00am to Thursday 4 December 2025, the following roads will be closed.  

•	Wakefield Road between East Terrace and Dequetteville Terrace. 
•	Wakefield Street from Hutt Street to a point 64.21 meters east. 
•	East Terrace between Bartels Road to a point 27.37 meters south of the Wakefield Road intersection. 
•	Flinders Street East between Hutt Street and East Terrace. 
•	Nil Street from East Terrace to a point 12.27 meters west.","https://www.google.com/maps/@-34.9251199,138.6133093,88m/data=!3m1!1e3?entry=ttu&g_ep=EgoyMDI1MDkwNy4wIKXMDSoASAFQAw%3D%3D",TBA,08:00-17:00,,44,,https://adelaidegrandfinal.com.au,,,,,,
Shannon's Adelaide Rally Gouger Street Party 2025,,22/11/25,22/11/25,Gouger Street,The Gouger Street Party has long been a special part of the Shannon's Classic Adelaide Rally and is a great way to get up close with all of the competition cars as they line on Gouger St,"From 3:00pm to 9:00pm on Saturday 22 November 2025
•	Gouger Street from Blenheim Street to Morphett Street
•	Gouger Street (southern carriageway) from Mill Street and Morphett Street 
•	Gouger Street (northern carriageway) from the Central Market U-Park Entrance and Morphett Street
•	California Street South in its entirety
•	Witcombe Street from Gouger Street to a point 25 meters north. 
•	Coglin Street from Gouger Street to a point 35 metres south. 
•	Compton Street from Gouger Street to a point 20 metres south. 
•	Field Street from Gouger Street to a point 30 metres south. 
•	Moonta Street, from Gouger Street and a point approximately 25m north. 	
","https://www.google.com/maps/@-34.9305353,138.5921209,88m/data=!3m1!1e3?entry=ttu&g_ep=EgoyMDI1MDkwNy4wIKXMDSoASAFQAw%3D%3D",TBA,17:00-21:00,,45,,https://www.adelaiderally.com.au/,,,,,,
Feast - Picnic in the Park 2025,,22/11/25,22/11/25,Whitmore Square ,"Picnic in the Park, produced by Feast Festival, is South Australia's largest ticketed LGBTQIA+ event, attracting a diverse audience and amplifying pride and inclusion.",TBA,"https://www.google.com/maps/@-34.9325038,138.5942038,88m/data=!3m1!1e3?entry=ttu&g_ep=EgoyMDI1MDkwNy4wIKXMDSoASAFQAw%3D%3D",TBA,11:00-21:00,,46,,N/A,,,,,,
Vardon Summer Series 2025/26,,22/11/25,22/11/25,Vardon Avenue,Annual street summer series,"Road Closure Schedule: 

Between 4:00pm and 11:59pm on Saturday 23 November 2024, the following road will be closed: 

•	Vardon Avenue, Adelaide between East Terrace and Rundle Street","https://www.google.com/maps/@-34.9228059,138.6099244,88m/data=!3m1!1e3?entry=ttu&g_ep=EgoyMDI1MDkwNy4wIKXMDSoASAFQAw%3D%3D",TBA,16:00-23:59,,47,,N/A,,,,,,
Ebenezer Night Market 2025/2026,,22/11/25,22/11/25,Ebenezer Place,Annual markets on Ebenezer Place,"Road Closure Schedule: 

Between 2:30pm and 11:59pm on Saturday 21 December 2024, the following road will be closed: 

•	Ebenezer Place , Adelaide between Union Street and Rundle Street

Between 4:00pm and 11:59pm on Saturday 21 December 2024, the following road will be closed:

•	Union Street, Adelaide between Rundle Street and Ebenezer Place","https://www.google.com/maps/@-34.9228084,138.6091717,88m/data=!3m1!1e3?entry=ttu&g_ep=EgoyMDI1MDkwNy4wIKXMDSoASAFQAw%3D%3D",TBA,17:00-22:30,,48,,N/A,,,,,,
Sheffield Shield:  South Australia v Western Australia,,22/11/25,25/11/25,Adelaide Oval (Park 26),Sheffield Shield domestic first-class cricket competition of Australia.,N/A,"https://www.google.com/maps/@-34.915795,138.5963383,88m/data=!3m1!1e3?entry=ttu&g_ep=EgoyMDI1MDkwNy4wIKXMDSoASAFQAw%3D%3D",TBA,14:30-20:00,,49,,https://www.adelaideoval.com.au,,,,,,
Multicultural Festival 2025,,23/11/25,23/11/25,Victoria Square / Tarntanyangga,The annual Multicultural Festival celebrates the many cultures of South Australia at a free evnet that is fun for the whole family.,Reconciliation Plaza from 15:00 on Sat 22 Nov 2025 until 23:59 on Sun 23 Nov 2025,"https://www.google.com/maps/@-34.9280357,138.599874,88m/data=!3m1!1e3?entry=ttu&g_ep=EgoyMDI1MDkwNy4wIKXMDSoASAFQAw%3D%3D",TBA,12:00-18:00,,50,,https://www.adelaideoval.com.au,,,,,,
Shannon's Adelaide Rally Event Finale 2025,,23/11/25,23/11/25,O'Connell Street North Adelaide;  Rymill Park / Murlawirrapurka (Park 14);  Tynte Street North Adelaide,"Shannons Adelaide Rally brings the community together for fun, free community events in the CBD, Adelaide Hills and Fleurieu Peninsula. The finale is the podium finish to the weekends activities.","From 12:30pm to 8:30pm on Sunday 23 November 2025, the following roads are proposed to be closed: 
- O’Connell Street, from Archer Street to Tynte Street 
- O’Connell Street west carriageway from Tynte Street to Wigg Lane
- Tynte Street from O'Connell Street to Mansfield Street
- Tynte Street south carriageway from O’Connell Street to Centenary Street
- Tower Street South, Chapel Street, Tynte Place and Tynte Court in their entirety.","https://www.google.com/maps/@-34.9060289,138.5958857,88m/data=!3m1!1e3?entry=ttu&g_ep=EgoyMDI1MDkwNy4wIKXMDSoASAFQAw%3D%3D",TBA,15:00-18:00,,51,,https://www.adelaiderally.com.au/,,,,,,
Adelaide Grand Final Track to Town,,26/11/25,26/11/25,Victoria Square / Tarntanyangga,Adelaide 500 will hold the pre event Supercars drivers autograph session and parade  in Victoria Square,N/A,"https://www.google.com/maps/@-34.9291452,138.5996812,88m/data=!3m1!1e3?entry=ttu&g_ep=EgoyMDI1MDkwNy4wIKXMDSoASAFQAw%3D%3D",TBA,17:00-18:00,,52,,https://adelaidegrandfinal.com.au/,,,,,,
Pit Stop Party 2025,,27/11/25,27/11/25,Carrington Street;  Hutt Street,An event involving ADL 500 cars as well as the drivers from the race. Road closure on Carrington St only.,TBA,"https://www.google.com/maps/@-34.9308681,138.6121919,88m/data=!3m1!1e3?entry=ttu&g_ep=EgoyMDI1MDkwNy4wIKXMDSoASAFQAw%3D%3D",TBA,16:00-21:00,,53,,N/A,,,,,,
bp Adelaide Grand Final 2025,,27/11/25,30/11/25,Bartels Road;  East Terrace;  King Rodney Park / Ityamai-itpina (Park 15);  Rundle Road;  Rymill Park / Murlawirrapurka (Park 14);  Victoria Park / Pakapakanthi (Park 16);  Wakefield Road,Annual Supercar racing event,Road closures commencing from TBA 2025,"https://www.google.com/maps/@-34.9251478,138.6117006,88m/data=!3m1!1e3?entry=ttu&g_ep=EgoyMDI1MDkwNy4wIKXMDSoASAFQAw%3D%3D",TBA,00:00-23:59,,54,,https://adelaidegrandfinal.com.au/,,,,,,
Toyota Welcome Event,,27/11/25,27/11/25,Vardon Avenue,Private Event,"Road Closure Schedule: 

Between 8:00am Sunday 20 October 2024 and 1:00am on Monday 21 October 2024, the following road will be closed: 

•	Vardon Avenue, Adelaide between East Terrace and Rundle Street","https://www.google.com/maps/@-34.9228502,138.6101642,88m/data=!3m1!1e3?entry=ttu&g_ep=EgoyMDI1MDkwNy4wIKXMDSoASAFQAw%3D%3D",TBA,14:00-23:00,,55,,N/A,,,,,,
Asia Oasis,,28/11/25,30/11/25,Pinky Flat (Park 26),"Celebration of arts, music and food with a focus on authenticity.",N/A,"https://www.google.com/maps/@-34.9182288,138.5946802,88m/data=!3m1!1e3?entry=ttu&g_ep=EgoyMDI1MDkwNy4wIKXMDSoASAFQAw%3D%3D",TBA,08:00-17:00,,56,,https://asiaoasis.com.au/,,,,,,
Vardon Summer Series 2025/26,,28/11/25,28/11/25,Vardon Avenue,Annual street summer series,"Road Closure Schedule: 

Between 4:00pm and 11:59pm on Friday 29 November 2024, the following road will be closed: 

•	Vardon Avenue, Adelaide between East Terrace and Rundle Street","https://www.google.com/maps/@-34.9228483,138.610402,88m/data=!3m1!1e3?entry=ttu&g_ep=EgoyMDI1MDkwNy4wIKXMDSoASAFQAw%3D%3D",TBA,16:00-23:59,,57,,N/A,,,,,,
WBBL: Adelaide Strikers v Sydney Thunder,,28/11/25,28/11/25,Adelaide Oval (Park 26),2025/2026 Women's Big Bash League Fixture,N/A,"https://www.google.com/maps/@-34.9157929,138.5969987,88m/data=!3m1!1e3?entry=ttu&g_ep=EgoyMDI1MDkwNy4wIKXMDSoASAFQAw%3D%3D",TBA,18:40-21:30,,58,,https://www.adelaideoval.com.au,,,,,,
Al Salam Festival,,29/11/25,29/11/25,Ellis Park / Tampawardli (Park 24),"A free annual festival celebrating Islam through entertainment, education and food",N/A,"https://www.google.com/maps/@-34.9278797,138.5868879,88m/data=!3m1!1e3?entry=ttu&g_ep=EgoyMDI1MDkwNy4wIKXMDSoASAFQAw%3D%3D",TBA,08:00-17:00,,59,,N/A,,,,,,
Rhino Room Street Fest,,29/11/25,30/11/25,Hyde Street,Road closure for an activation at the Rhino Room,Hyde Street between Stockley Alley and Pirie Street  closed between 3:00 pm on Saturday 29 November 2025 and 11:00 pm on Sunday 30 November 2025.,"https://www.google.com/maps/@-34.9256527,138.6045231,88m/data=!3m1!1e3?entry=ttu&g_ep=EgoyMDI1MDkwNy4wIKXMDSoASAFQAw%3D%3D",TBA,16:00-22:00,,60,,https://rhinoroom.com.au/,,,,,,
Vardon Summer Series 2025/26,,29/11/25,29/11/25,Vardon Avenue,Annual street summer series,"Road Closure Schedule: 

Between 4:00pm and 11:59pm on Saturday 30 November 2024, the following road will be closed: 

•	Vardon Avenue, Adelaide between East Terrace and Rundle Street","https://www.google.com/maps/@-34.9228508,138.6101698,88m/data=!3m1!1e3?entry=ttu&g_ep=EgoyMDI1MDkwNy4wIKXMDSoASAFQAw%3D%3D",TBA,16:00-23:59,,61,,N/A,,,,,,
