Asset_Subtype,Component_Name,Component_Type
Major Footbridge,Open Girders,Super Structure Other
Major Footbridge,Pier Protection,Sub-Structure Other
Major Footbridge,Piers,Sub-Structure Other
Major Footbridge,Pile Caps,Sub-Structure Other
Major Footbridge,Precast Girders,Super Structure Other
Major Footbridge,Stringers,Super Structure Other
Major Footbridge,Wearing Surface,01 Wearing Course
Major Footbridge,Wingwall/Retaining Wall,Wingwall
Mall Decorations,Main,Main
Map,Archives Main,Main
Marquette,Archives Main,Main
Mast arm Pole,Pole Main,Main
Medal(s),Archives Main,Main
Medals,Archives Main,Main
Median Island,Kerb Main,Main
Medium (<=1500mm x 2000mm),Planter Box Main,Main
Meeting Room Equipment,Main,Main
Memorial,Archives Main,Main
Memorial,Drinking Fountain Main,Main
Mercury Vapour,LE Luminaire,LE Luminaire
Metal Halide,LE Luminaire,LE Luminaire
Metered,People Movement Sensor,Main
MetroLite,Parking Machine Main,Main
MIMS Wiring on Structure,Cable,Main
MIMS Wiring on Structure,Conduit,Main
Minor Footbridge,Abutment / Wingwall 1,Wingwall
Minor Footbridge,Abutment 1,Sub-Structure Other
Minor Footbridge,Abutment 2,Sub-Structure Other
Minor Footbridge,Abutments,Sub-Structure Other
Minor Footbridge,Apron,Super Structure Other
Minor Footbridge,Arches,Super Structure Other
Minor Footbridge,Batter Protection,Sub-Structure Other
Minor Footbridge,Batter Protection 1,Sub-Structure Other
Minor Footbridge,Batter Protection 2,Sub-Structure Other
Minor Footbridge,Cross Beams/Floor Beams,Super Structure Other
Minor Footbridge,Cross Bracing,Super Structure Other
Minor Footbridge,Culvert,Culvert Main
Minor Footbridge,Deck / Slab,Bridge Deck
Minor Footbridge,Deck / Wearing Surface,01 Wearing Course
Minor Footbridge,Handrails,Rail
Minor Footbridge,Handrails 1,Rail
Minor Footbridge,Headwalls/Wingwalls,Sub-Structure Other
Minor Footbridge,Kerb,Kerb
Minor Footbridge,Open Girders,Super Structure Other
Minor Footbridge,Outlet Protection,Sub-Structure Other
Minor Footbridge,Piers,Sub-Structure Other
Minor Footbridge,Primary Beams or Trusses,Super Structure Other
Minor Footbridge,Secondary Beams or Joists,Super Structure Other
Minor Footbridge,Span 1 Arch 1,Super Structure Other
Minor Footbridge,Span 1 Deck / Slab,Bridge Deck
Minor Footbridge,Span 1 Deck / Wearing Surface,Bridge Deck
Minor Footbridge,Span 1 Deck/Slab,Bridge Deck
Minor Footbridge,Span 1 Handrails 1,Rail
Minor Footbridge,Span 1 Handrails 2,Rail
Minor Footbridge,Span 1 Primary Beams or Trusses,Super Structure Other
Minor Footbridge,Span 1 Primary Beams or Trusses 1,Super Structure Other
Minor Footbridge,Span 1 Secondary Beams or Joists,Super Structure Other
Minor Footbridge,Span 1-3 Deck / Slab,Bridge Deck
Minor Footbridge,Span 1-3 Kerb 1,Kerb
Minor Footbridge,Span 1-3 Primary Beams or Trusses,Super Structure Other
Minor Footbridge,Span 1-3 Secondary Beams or Joists,Super Structure Other
Minor Footbridge,Span 1-4 Deck / Slab,Bridge Deck
Minor Footbridge,Span 1-4 Primary Beams or Trusses,Super Structure Other
Minor Footbridge,Span 1-4 Secondary Beams or Joists,Super Structure Other
Minor Footbridge,Span 1-5  Primary Beams or Trusses,Super Structure Other
Minor Footbridge,Span 1-5 Deck / Slab,Bridge Deck
Minor Footbridge,Span 1-5 Handrails 1,Rail
Minor Footbridge,Span 1-5 Secondary Beams or Joists,Super Structure Other
Minor Footbridge,Stringers,Super Structure Other
Minor Footbridge,Wearing Surface,01 Wearing Course
Minor Footbridge,Wingwall/Retaining Wall,Wingwall
Minor Weir,Low Flow Bypass,Koala Crossing Lights
Minor Weir,North Access Barrier,Koala Crossing Lights
Minor Weir,North Access Stairs,Stairs
Minor Weir,North Rock Batter,Koala Crossing Lights
Minor Weir,South Access Barrier,Koala Crossing Lights
Minor Weir,South Access Stairs,Stairs
Minor Weir,South Rock Batter,Koala Crossing Lights
Minor Weir,Weir Structure,Main
Miscellaneous,Archives Main,Main
Miscellaneous,Christmas Tree Decoration,Ancillary
Miscellaneous,Christmas Tree Lights,Ancillary
Miscellaneous,Christmas Tree Main,Main
Miscellaneous,Miscellaneous Main,Main
Mobile Items,Main,Main
Mobile Phone,Main,Main
Monitor,Main,Main
Monograph,Archives Main,Main
Motorcycle,Light Fleet Main,Main
Mountable Kerb,Kerb Main,Main
Mountable Kerb and Water Table,Kerb Main,Main
Mower,Major Plant Main,Main
Mower - Hand,Minor Plant Main,Main
Multipurpose,Playground Equipment Main,Main
Multipurpose Court - Acrylic Surface,Acrylic Surface,Main
Multipurpose Court - Acrylic Surface,Asphalt Layer,Main
Multipurpose Court - Acrylic Surface,Rubble Base,Main
Multipurpose Court - Asphalt Surface,Asphalt Layer,Main
Multipurpose Court - Asphalt Surface,Rubble Base,Main
Musical,Main,Main
Native,Garden Bed Main,Main
Netball Court - Acrylic Surface,Acrylic Surface,Main
Netball Court - Acrylic Surface,Asphalt Layer,Main
Netball Court - Acrylic Surface,Rubble Base,Main
Netball Ring,Netball Ring,Main
Network Assets,Main,Main
Network Switch,Main,Main
Non Potable Water Pit,Holding Tank,Main
Non Potable Water Pit,Lockable Isolation Valve,Main
Non Potable Water Pit,Smart Water Meter,Main
Nonremovable,Bollard Main,Main
Official,Flag Pole Main,Main
On Prem,Main,Main
On Street Electric Vehicle Charging Station - Free Stand,Electric Vehicle Charging Station,Main
On Street Electric Vehicle Charging Station - Free Stand,On Street Electric Vehicle Charging Station - Free Stand,On Street Electric Vehicle Charging Station - Free Stand
On Street Electric Vehicle Charging Station - Wall Mounted,Electric Vehicle Charging Station,Main
On Street Electric Vehicle Charging Station - Wall Mounted,On Street Electric Vehicle Charging Station - Wall Mounted,On Street Electric Vehicle Charging Station - Wall Mounted
Open Channels,Open Channel Main,Main
Open Channels,Open Channels Main,Main
Optical Fibre,Main,Main
Ornamental Stream,Concrete Base,Main
Other Decorations,Main,Main
P1,Pit Main,Main
P2,Pit Main,Main
P3,Pit Main,Main
P4,Pit Main,Main
P5,Pit Main,Main
P6,Pit Main,Main
P7,Pit Main,Main
P8,Pit Main,Main
Painting,Archives Main,Main
Painting,Main,Main
Park Lands  / Squares Decorations,Main,Main
Park Lands Plinth,Custom Sign Main,Main
Park Tree,Tree Main,Main
Passenger Shuttle,Light Fleet Main,Main
Pedestrian,Footpaths Main,Main
Pedestrian,Formation,04 Working Platform
Pedestrian,Pavement Base,02 Intermediate Course
Pedestrian,Surface,01 Wearing Course
Pedestrian Panel,Custom Sign Main,Main
Pedestrian Refuge,Kerb Main,Main
Pelco S5220-EG1,CCTV Camera,Main
Pelco S5220-EG1-X,CCTV Camera,Main
Pelco S6230-EG1,CCTV Camera,Main
Pelco S6230-EGL1,CCTV Camera,Main
Pelco S7230L-EW1,CCTV Camera,Main
Pelco S7230L-EW1,Wifi Supply Point,Main
PelcoIXP21,CCTV Camera,Main
Pendant,LE Luminaire,LE Luminaire
Pendant,LE Luminaire Cable,LE Luminaire Cable
People Counter,Main,Main
Perennials,Garden Bed Main,Main
Pergola,Other Structures Main,Main
Personnel Lifter,Minor Plant Main,Main
Petanque - Gravel Surface,Gravel Surface,Main
PIO,Main,Main
Pipe,Culvert Main,Main
Pipe Connection Point,Connection Main,Main
Pipe-Main,Pipe Main,Main
Plain Tubular Steel,Bollard Main,Main
Plaque,Archives Main,Main
Platform,Other Structures Main,Main
Playground,Softfall - Rubberised,Main
Playground,Softfall - Rubberised,Softfall
Playground,Softfall - Woodchip,Softfall
Pole Box,Custom Sign Main,Main
Pole Box (Cycle),Custom Sign Main,Main
Pole Box with a Custom Pole,Custom Sign Main,Main
Pole Mounted Directional Sign,Custom Sign Main,Main
Portrait,Archives Main,Main
Post,Drinking Fountain Main,Main
Post Top Light - City Streets,LE Luminaire,LE Luminaire
Post Top Light - City Streets,LE Luminaire Cable,LE Luminaire Cable
Post Top Light - City Streets,LE Luminaire Conduit,LE Luminaire Conduit
Post Top Light - Park Lands,LE Luminaire,LE Luminaire
Post Top Light - Park Lands,LE Luminaire Cable,LE Luminaire Cable
Post Top Light - Park Lands,LE Luminaire Conduit,LE Luminaire Conduit
Post Top Light - Pendant,LE Luminaire,LE Luminaire
Post Top Light - Pendant,LE Luminaire Cable,LE Luminaire Cable
Post Top Light - Pendant,LE Luminaire Conduit,LE Luminaire Conduit
Post Top Light - Wall Mounted,LE Luminaire,LE Luminaire
Post Top Light - Wall Mounted,LE Luminaire Cable,LE Luminaire Cable
Post Top Light - Wall Mounted,Luminaire,Luminaire
Post Top Pole - City Streets,LE Light Pole,LE Light Pole
Post Top Pole - Park Lands,LE Light Pole,LE Light Pole
Post Top Pole - Park Lands,Pole,Main
Potable Water Pit,Lockable Isolation Valve,Main
Potable Water Pit,Pit Main,Main
Potable Water Pit,Smart Water Meter,Main
Potable Water Pit,Vent Pipe,Main
Potable Water Pit,Vent Pt Main,Main
Power Bollard - Above Ground,LE Power Bollard - Above Ground,LE Power Bollard - Above Ground
Power Outlet,LE Power Outlet,LE Power Outlet
Power Outlet,Power Outlet Main,Main
Power Tool,Minor Plant Main,Main
Pressure Cleaner,Minor Plant Main,Main
Print,Archives Main,Main
Print,Main,Main
Printer/MFD,Main,Main
Projector,LE Luminaire,LE Luminaire
Projector,LE Luminaire Cable,LE Luminaire Cable
Projector,LE Luminaire Conduit,LE Luminaire Conduit
Projector,Main,Main
Property Connection,Connection Main,Main
Public Arts,Artistic Pavement Marking,Main
Public Arts,Artwork Lighting Main,Main
Public Arts,Artwork Main,Main
Public Conveniences,Electrical Services,Electrical
Public Conveniences,Fire Services,Fire
Public Conveniences,Fitout and Fittings,Fitout and Fittings
Public Conveniences,Hydraulic Services,Hydraulics
Public Conveniences,Mechanical Services,Mechanical
Public Conveniences,Roof Structure,Roof
Public Conveniences,Structure,Main
Public Conveniences,Structure,Structure
Pull Through,Pit Main,Main
Pull Through Pit,LE Lighting Pit,LE Lighting Pit
Pull Through Pit,Pit Main,Main
Pump,Holding Tank,Main
Pump,Minor Plant Main,Main
Pump,Pump Main,Main
Pump,Pump Station Main,Main
Pump,Valve Main,Main
Pump Station,Pump Main,Main
Pump Station,Pump Station Main,Main
Push Button,Pole Main,Main
Push Button Pole,Push Button,Push Button
Push Button Shared Pole,Push Button,Push Button
Recycle Bin,Bin Main,Main
Refill,Drinking Fountain Main,Main
Removable,Bollard Main,Main
Retaining Wall,Retaining Wall Main,Main
Retention Tank,Retention Tank Main,Main
Retractable,Bollard Main,Main
Retractable,Hydrolic System,Main
Rigid Concrete Pavement,01 Wearing Course,01 Wearing Course
Rigid Concrete Pavement,04 Working Platform,04 Working Platform
Rising Main,Sewer Pipe Main,Main
Road Bridge,Abutment,Sub-Structure Other
Road Bridge,Anti-throw screen,Super Structure Other
Road Bridge,Arches,Super Structure Other
Road Bridge,Batter Protection,Sub-Structure Other
Road Bridge,Bearings,Super Structure Other
Road Bridge,Box Girders,Super Structure Other
Road Bridge,Bridge Footpath,Bridge Footpath
Road Bridge,Bridge Kerbs,Kerb
Road Bridge,Bridge Railing,Rail
Road Bridge,Cable Tray Screens,Super Structure Other
Road Bridge,Column or Piles,Sub-Structure Other
Road Bridge,Cross Beams/Floor Beams,Super Structure Other
Road Bridge,Cross Bracing,Super Structure Other
Road Bridge,Deck Joints,Super Structure Other
Road Bridge,Deck Joints - Compression Joint Seal,Super Structure Other
Road Bridge,Deck Joints - Expansion Joint,Super Structure Other
Road Bridge,Deck Joints - Finger Joint,Super Structure Other
Road Bridge,Deck Slab,Bridge Deck
Road Bridge,Headstocks,Super Structure Other
Road Bridge,Open Girders,Super Structure Other
Road Bridge,Pier wall,Super Structure Other
Road Bridge,Stringers,Super Structure Other
Road Bridge,Wearing Surface on Deck,01 Wearing Course
Road Bridge,Wingwall/Retaining Wall,Wingwall
Rock Pool,Rock Pool,Main
Rock Rip-Rap,Open Channel Main,Main
Rock Rip-Rap with Geofabric,Open Channel Main,Main
Rocking Equipment,Playground Equipment Main,Main
Roses,Garden Bed Main,Main
Rotunda,Other Structures Main,Main
Roundabout,Kerb Main,Main
S Pit,Pit Main,Main
Safety Fencing,Fence Main,Main
Sandstone,Planter Box Main,Main
Sanitary Drainage,Pipe Main,Main
Sanitary Drainage,Sanitary Drainage Main,Main
Scanner,Main,Main
Sculpture,Archives Main,Main
Sealed,03 Base Course,03 Base Course
Sedan,Light Fleet Main,Main
Seeder,Major Plant Main,Main
Sensor,Main,Main
Server,Main,Main
Shade Sail,Pole,Main
Shade Sail,Shade Cloth,Ancillary
Shared Use Path,Formation,04 Working Platform
Shared Use Path,Pavement Base,02 Intermediate Course
Shared Use Path,Surface,01 Wearing Course
Shelter,Other Structures Main,Main
"Short Panel Directional, Topham Mall",Custom Sign Main,Main
Single,Access Ramp Main,Main
Single Bar,Gate Main,Main
Single Gatic,Pit Main,Main
Single Timber Rail,Gate Main,Main
Site Hut,Major Plant Main,Main
Site Identification Directional Sign,Custom Sign Main,Main
Site Identification Mapped Sign,Custom Sign Main,Main
Site Identification Regulatory,Custom Sign Main,Main
Skate Park,Concrete Base,Main
Skate Park,Concrete Surface,Main
Skate Park,Rubble Base,Main
Skatepark - Concrete Surface,Concrete Surface,Main
Skatepark Equipment,Skatepark Equipment,Main
Slab Lifter,Minor Plant Main,Main
Slides,Playground Equipment Main,Main
Small (<=1000mm x 1500mm),Planter Box Main,Main
Small Memorial,Artwork Lighting Main,Main
Small Memorial,Artwork Main,Main
Smart Pole,LE Light Pole,LE Light Pole
SmartSpot,Smart Eye Sensor,Main
SmartSpot,Smart Parking,Main
Soccer Goals,Soccer Goal,Main
Solar Bin,Bin Main,Main
Spatial Networks,Equipment Main,Main
Spatial Networks,Playground Equipment Main,Main
Splitter,Kerb Main,Main
Spoon Drain,Kerb Main,Main
Sports,Playground Equipment Main,Main
Spot Light,LE Luminaire,LE Luminaire
Spreader,Miscellaneous Main,Main
Staging,Main,Main
Stairs,Formation,04 Working Platform
Stairs,Pavement Base,02 Intermediate Course
Stairs,Surface,01 Wearing Course
Standard 4.4m,Pole Main,Main
Standard 4.4m,Wifi Supply Point,Main
Standard Litter Bin,Bin Main,Main
Station Wagon,Light Fleet Main,Main
Statue,Archives Main,Main
Steel,Planter Box Main,Main
Steel Frame and Cyclone Mesh,Gate Main,Main
Steel Frame and Mesh Insert,Gate Main,Main
Steel Frame and Vert Bar,Gate Main,Main
Steel Rail,Bike Rack Main,Main
Steel Slot,Bike Rack Main,Main
Steel Truss Style,Gate Main,Main
Steel With Fluted Top,Bollard Main,Main
Stepped Post Top,Pole,Main
Stepped Post Top Pole - Adepole 5.0m,LE Light Pole,LE Light Pole
Stepped Post Top Pole - City Streets,LE Light Pole,LE Light Pole
Stepped Post Top Pole - City Streets,Pole,Main
Stepped Post Top Pole - Park Lands,LE Light Pole,LE Light Pole
Stone Paver on Rigid Concrete Pavement,01 Wearing Course,01 Wearing Course
Stone Paver on Rigid Concrete Pavement,03 Base Course,03 Base Course
Stone Paver on Rigid Concrete Pavement,04 Working Platform,04 Working Platform
Storage compound,Main,Main
Stratacell,Stratacell Main,Main
Street Decorations,Main,Main
Street Light,LE Luminaire,LE Luminaire
Street Light,LE Luminaire Cable,LE Luminaire Cable
Street Light,LE Luminaire Conduit,LE Luminaire Conduit
Street Light,Luminaire,Luminaire
Street Light,Primary Luminaire,Luminaire
Street Light,Secondary Luminaire,Luminaire
Street Light - Pendant,LE Luminaire,LE Luminaire
Street Light - Pendant,LE Luminaire Cable,LE Luminaire Cable
Street Light - Pendant,LE Luminaire Conduit,LE Luminaire Conduit
Street Light - PLC Light on SAPN Pole,LE Luminaire,LE Luminaire
Street Light - Prestige,LE Luminaire,LE Luminaire
Street Light - Prestige,LE Luminaire Cable,LE Luminaire Cable
Street Light - Prestige,LE Luminaire Conduit,LE Luminaire Conduit
Street Light - Solar,LE Luminaire,LE Luminaire
Street Light - Traffic,LE Luminaire,LE Luminaire
Street Light - Traffic,Luminaire,Luminaire
Street Light - Traffic,Primary Luminaire,Luminaire
Street Light - Wall Mounted,LE Luminaire,LE Luminaire
Street Light - Wall Mounted,LE Luminaire Cable,LE Luminaire Cable
Street Light Bracket  - 3m Outreach (Tram Corridor),LE Light Pole Bracket,LE Light Pole Bracket
Street Light Pole - 10.5m,LE Light Pole,LE Light Pole
Street Light Pole - 4.5m,LE Light Pole,LE Light Pole
Street Light Pole - 6.5m,LE Light Pole,LE Light Pole
Street Light Pole - 6.5m,Pole,Main
Street Light Pole - 9.5m,LE Light Pole,LE Light Pole
Street Light Pole - 9.5m,Pole,Main
Street Light Pole - Adepole - 10.5m,LE Light Pole,LE Light Pole
Street Light Pole - Dual Outreach,LE Light Pole,LE Light Pole
Street Light Pole - Dual Outreach - Heritage Style,LE Light Pole,LE Light Pole
Street Light Pole - Jeffcott Catenary Style,LE Light Pole,LE Light Pole
Street Light Pole - Solar,LE Light Pole,LE Light Pole
Street Tree,Tree Base Treatment,Ancillary
Street Tree,Tree grate,Ancillary
Street Tree,Tree Main,Main
Street Tree,Tree Pit,Main
Street Tree,Tree Surround,Ancillary
StripDrain,Stormwater Drain Main,Main
Sub-board,Above Ground Switchboard,Main
SubSurface,Stormwater Drain Main,Main
Suction Sweeper,Heavy Fleet Main,Main
Swale,Open Channel Main,Main
Swale,Open Channels Main,Main
Swale,Swale Main,Main
Sweeper/Scrubber,Major Plant Main,Main
Swings,Playground Equipment Main,Main
Tables/Chairs,Main,Main
Tablets,Main,Main
Tactile Play,Playground Equipment Main,Main
Telstra Style Steel Pit,Pit Main,Main
Tennis Court - Acrylic Surface,Acrylic Surface,Main
Tennis Court - Acrylic Surface,Asphalt Layer,Main
Tennis Court - Acrylic Surface,Rubble Base,Main
Tennis Court - Synthetic Turf Surface,Rubble Base,Main
Tennis Court - Synthetic Turf Surface,Synthetic Turf,Main
Tennis Court - Turf Surface,Turf Surface,Main
Tennis Net,Tennis Net,Main
Tennis Net and Posts,Other Structures Main,Main
Ticket Box,Major Plant Main,Main
Ticket Machines,Main,Main
Top Dresser,Miscellaneous Main,Main
Torrens River Weir,Apron,Apron
Torrens River Weir,Control System Hardware,Ancillary
Torrens River Weir,Downstream Cribbing Structure,Structure
Torrens River Weir,Gate,Koala Crossing Lights
Torrens River Weir,Gate Super Structure,Super Structure Other
Torrens River Weir,Gate Support Structure Access Steelwork,Support
Torrens River Weir,North Abutment,Abutment
Torrens River Weir,North Downstream Retaining Wall,Retaining Wall Main
Torrens River Weir,North Downstream Weir Wall,Main
Torrens River Weir,Pier Wall,Main
Torrens River Weir,Public Access Walkway Decking,Deck
Torrens River Weir,Public Access Walkway Super Structure,Super Structure Other
Torrens River Weir,South Abutment,Abutment
Torrens River Weir,South Downstream Retaining Wall,Retaining Wall Main
Torrens River Weir,South Downstream Weir Wall,Main
Torrens River Weir,Stop Log Gated Access Walkway Super Structure,Super Structure Other
Torrens River Weir,Stop Log Gated Access Walkway Support Frame,Support
Torrens River Weir,Stop Log Gated Decking,Deck
Torrens Weir Fixing,LE Light Pole,LE Light Pole
Town Hall 1800x1800 Pit,SCAT Town Hall Pit,SCAT Town Hall Pit
Town Hall Complex,Electrical Services,Electrical
Town Hall Complex,Fire Services,Fire
Town Hall Complex,Fitout and Fittings,Fitout and Fittings
Town Hall Complex,Hydraulic Services,Hydraulics
Town Hall Complex,Mechanical Services,Mechanical
Town Hall Complex,Roof Structure,Roof
Town Hall Complex,Structure,Main
Town Hall Complex,Technology,Technology
Town Hall Complex,Vertical Transport Services,Transport Service
Traffic Control Boxes,Main,Main
Traffic Lantern Assembly,Bike Traffic Lantern - 1 LED,Bike Traffic Lantern - 1 LED
Traffic Lantern Assembly,Bike Traffic Lantern - 2 LED,Bike Traffic Lantern - 2 LED
Traffic Lantern Assembly,Bike Traffic Lantern - 3 LED,Bike Traffic Lantern - 3 LED
Traffic Lantern Assembly,Bus Traffic Lantern - 1 LED,Bus Traffic Lantern - 1 LED
Traffic Lantern Assembly,Bus Traffic Lantern - 2 LED,Bus Traffic Lantern - 2 LED
Traffic Lantern Assembly,Bus Traffic Lantern - 3 LED,Bus Traffic Lantern - 3 LED
Traffic Lantern Assembly,Car Arrow Traffic Lantern - 1 LED,Car Arrow Traffic Lantern - 1 LED
Traffic Lantern Assembly,Car Arrow Traffic Lantern - 2 LED,Car Arrow Traffic Lantern - 2 LED
Traffic Lantern Assembly,Car Arrow Traffic Lantern - 3 LED,Car Arrow Traffic Lantern - 3 LED
Traffic Lantern Assembly,Car Traffic Lantern - 2 LED,Car Traffic Lantern - 2 LED
Traffic Lantern Assembly,Car Traffic Lantern - 3 LED,Car Traffic Lantern - 3 LED
Traffic Lantern Assembly,Koala Crossing Lights,Koala Crossing Lights
Traffic Lantern Assembly,L2-Pedestrian with Count Down Timer - 2 LED,Pedestrian with Count Down Timer - 2 LED
Traffic Lantern Assembly,No Right Turn Lantern - 1 LED,No Right Turn Lantern - 1 LED
Traffic Lantern Assembly,Pedestrian - 2 LED,Pedestrian - 2 LED
Traffic Lantern Assembly,Pedestrian with Count Down Timer - 2 LED,Pedestrian with Count Down Timer - 2 LED
Traffic Lantern Assembly,Tram Traffic Lantern - 1 LED,Tram Traffic Lantern - 1 LED
Traffic Lantern Assembly,Tram Traffic Lantern - 2 LED,Tram Traffic Lantern - 2 LED
Traffic Lantern Assembly,Tram Traffic Lantern - 3 LED,Tram Traffic Lantern - 3 LED
Traffic Signal Controller,TS Controller,TS Controller
Traffic Signal Controller MSB Pod,TS Controller,TS Controller
Traffic Signal Controller with Top Box RU07,Controller Main,Main
Traffic Signal Controller with Top Box RU07,Top Box,Ancillary
Traffic Signal Controller with Top Box RU07,TS Controller,TS Controller
Traffic Signal Controller with Top Box RU07,TS Top Box RU07,TS Top Box RU07
Traffic Signal Controller with Top Box RU07,Z0131_WIP,Main
Traffic Signal Controller with Top Box RU11,CCTV,Ancillary
Traffic Signal Controller with Top Box RU11,Controller Main,Main
Traffic Signal Controller with Top Box RU11,Top Box,Ancillary
Traffic Signal Controller with Top Box RU11,TS Controller,TS Controller
Traffic Signal Controller with Top Box RU11,TS Top Box RU11,TS Top Box RU11
Traffic Signal Controller with Top Box RU11,Z0132_WIP,Main
Traffic Signal Controller with Top Box RU11,Z0133_WIP,Main
Traffic Signal Controller with Top Box RU11,Z0431_WIP,Main
Traffic Signal Controller with Top Box RU11,Z2034_WIP,Main
Traffic Signal Controller with Top Box RU11,Z2038_WIP,Main
Traffic Signal Controller with Top Box RU11,Z2039_WIP,Main
Trailer,Major Plant Main,Main
Tram Detector-Induction,Detector Loop,Detector Loop
Tram Site Loop Pit,Pit Main,Main
Tree Bud Light,Bud Lighting,Main
Tree Bud Light,Luminaire,Luminaire
Tree Bud Light,Pole,Main
Tree Bud Light,Primary Luminaire,Luminaire
Tree Bud Light,Tree Bud Light,Tree Bud Light
Tree Inlet,Tree Inlet Main,Main
Tree Surround,Kerb Main,Main
Trench Drain,Stormwater Drain Main,Main
Truck,Heavy Fleet Main,Main
Truck - Compactor,Heavy Fleet Main,Main
Truck - Crane,Heavy Fleet Main,Main
Truck - EWP,Heavy Fleet Main,Main
Tyre Pump,Bike Rack Main,Main
U Shape,Bike Rack Main,Main
U-Shape,Culvert Main,Main
Unidentified,CCTV Cable and Conduit,Main
Unidentified,CCTV Camera,Main
Unidentified,Pole,Main
Uniterrupted Power Supply,Main,Main
Unsealed Rubble Pavement,03 Base Course,03 Base Course
Upark Buildings,Electrical Services,Electrical
Upark Buildings,Fire Services,Fire
Upark Buildings,Fitout and Fittings,Fitout and Fittings
Upark Buildings,Hydraulic Services,Hydraulics
Upark Buildings,Mechanical Services,Mechanical
Upark Buildings,Roof Structure,Roof
Upark Buildings,Structure,Main
Upark Buildings,Technology,Technology
Upark Buildings,Vertical Transport Services,Transport Service
Uplight,LE Luminaire,LE Luminaire
Uplight,LE Luminaire Cable,LE Luminaire Cable
Uplight,LE Luminaire Conduit,LE Luminaire Conduit
Urban Plinth,Custom Sign Main,Main
Ute,Light Fleet Main,Main
Utility Vehicle,Light Fleet Main,Main
Valve,Valve Main,Main
Van,Light Fleet Main,Main
Vehicle Detector-Flir,Detector Loop,Detector Loop
Vehicle Detector-Induction,Detector Loop,Detector Loop
Vehicle Detector-Patriot,Detector Loop,Detector Loop
Vehicular Entry Sign,Custom Sign Main,Main
Venue,Main,Main
Wall Light,LE Luminaire,LE Luminaire
Wall Light,LE Luminaire Cable,LE Luminaire Cable
Wall Light - Adelaide Bridge,LE Luminaire,LE Luminaire
Wall Light - Adelaide Bridge,LE Luminaire Cable,LE Luminaire Cable
Wash Down Tap,Wash Down Tap Main,Main
Water Feature,Artwork Lighting Main,Main
Water Feature,Concrete Base,Main
Water Feature,Pond Liner,Main
Water Feature,Water Feature Main,Main
Water Meter,Meter Main,Main
Water Play,Concrete Base,Main
Window,Archives Main,Main
Wireless Access Point,Main,Main
Wireless Hotspot,Main,Main
Wood Chipper,Major Plant Main,Main
Workshop Equipment,Miscellaneous Main,Main
Workstation,Main,Main
Zinc,Planter Box Main,Main
Zip Line,Playground Equipment Main,Main
