Asset_Subtype,Component_Name,Component_Type,Service_Criteria_Type
Headwall,Headwall Main,Main,Main Condition
Heritage Style Acorn,Bollard Main,Main,Main Condition
Heritage Style Acorn,Bollard Main,Main,Structural Compliance Condition
Heritage Style Acorn,Bollard Main,Main,Structural Condition
Heritage Style Acorn,Bollard Main,Main,Surface Damage Condition
Heritage Style Post Top Light,LE Luminaire,LE Luminaire,LE Luminaire Condition
Heritage Style Post Top Light,LE Luminaire Cable,LE Luminaire Cable,LE Luminaire Cable Condition
Heritage Style Post Top Light,LE Luminaire Conduit,LE Luminaire Conduit,LE Luminaire Conduit Condition
Heritage Style Post Top Pole,LE Light Pole,LE Light Pole,LE Light Pole Condition
Heritage Style Post Top Pole,Pole,Main,Main Condition
Heritage Style Street Lighting Pole,LE Light Pole,LE Light Pole,LE Light Pole Condition
Hockey Field,Hockey Field Main,Main,Main Condition
Horse Trough,Other Structures Main,Main,Main Condition
Hubs,Main,Main,Main Condition
ICUPS (2 Batteries),UPS,TS UPS,UPS Condition
Inaccessible Junction Box,Stormwater Pit Main,Main,Main Condition
IndigoVision PTZ,CCTV Camera,Main,Main Condition
Informal Path,Footpaths Main,Main,Main Condition
Informal Path,Formation,04 Working Platform,Formation Condition
Informal Path,Pavement Base,02 Intermediate Course,Pavement Base Condition
Informal Path,Surface,01 Wearing Course,Surface Condition
Information,Custom Sign Main,Main,Main Condition
Information,Custom Sign Main,Main,Structural Compliance Condition
Information,Custom Sign Main,Main,Structural Condition
Information,Custom Sign Main,Main,Surface Damage Condition
Inlet,Stormwater Drain Main,Main,Main Condition
Inlet Pit,Lid,Lid,Main Condition
Inlet Pit,Stormwater Pit Main,Main,Main Condition
Intercom Equipment,Main,Main,Main Condition
Internal,CCTV Equipment Enclosure,Main,Main Condition
Interpretive Large Sign,Custom Sign Main,Main,Main Condition
Interpretive Large Sign,Custom Sign Main,Main,Structural Compliance Condition
Interpretive Large Sign,Custom Sign Main,Main,Structural Condition
Interpretive Large Sign,Custom Sign Main,Main,Surface Damage Condition
Interpretive Sign (Post Mounted),Custom Sign Main,Main,Main Condition
Interpretive Sign (Post Mounted),Custom Sign Main,Main,Structural Compliance Condition
Interpretive Sign (Post Mounted),Custom Sign Main,Main,Structural Condition
Interpretive Sign (Post Mounted),Custom Sign Main,Main,Surface Damage Condition
Investment Properties,Mechanical Services,Mechanical,Mechanical Condition
Investment Properties,Roof Structure,Roof,Roof Condition
Irrigated Turf,Grassed Area Main,Main,Main Condition
Irrigation,Back Flow Main,Main,Main Condition
Irrigation,Backflow,Backflow,Main Condition
Irrigation,Backflow,Main,Main Condition
Irrigation,Control Wire,Control Wire,Main Condition
Irrigation,Control wire,Main,Main Condition
Irrigation,Controller,Control System,Main Condition
Irrigation,Controller,Main,Main Condition
Irrigation,Controller and Valve,Control System,Main Condition
Irrigation,Controller and Valve,Controller and Valve,Main Condition
Irrigation,Controller and Valve,Main,Main Condition
Irrigation,Emitters,Emitters,Main Condition
Irrigation,Emitters,Main,Main Condition
Irrigation,Irrigation Main,Main,Main Condition
Irrigation,Laterals,Laterals,Main Condition
Irrigation,Laterals,Main,Main Condition
Irrigation,Mainline,Main,Main Condition
Irrigation,Mainline,Mainline,Main Condition
Irrigation,Valves,Control System,Main Condition
Irrigation,Valves,Main,Main Condition
Irrigation Parkland Space,Control Wire,Control Wire,Main Condition
Irrigation Parkland Space,Controller,Control System,Controller Condition
Irrigation Parkland Space,Controller,Control System,Main Condition
Irrigation Parkland Space,Emitters,Emitters,Main Condition
Irrigation Parkland Space,Irrigation Main,Main,Main Condition
Irrigation Parkland Space,Laterals,Laterals,Main Condition
Irrigation Parkland Space,Mainline,Mainline,Main Condition
Irrigation Parkland Space,Valves,Control System,Controller Condition
Irrigation Parkland Space,Valves,Control System,Main Condition
Jnr Rope Unit,Playground Equipment Main,Main,Main Condition
Jnr See Saw,Playground Equipment Main,Main,Main Condition
Join Pit,LE Lighting Pit,LE Lighting Pit,LE Lighting Pit Condition
Join Pit,Main,Main,Main Condition
Join Pit,Pit Main,Main,Pit Condition
Join Pit,SCAT Join Pit,SCAT Join Pit,SCAT Pit Condition
Junction Box,Inspection Opening,Main,Main Condition
Junction Box,Lid,Lid,Main Condition
Junction Box,Stormwater Pit Main,Main,Main Condition
JVH Kiato,Super Structure Main,Main,Superstructure Condition
Kerb,Kerb Main,Main,Main Condition
Kerb and Water Table,Kerb Main,Main,Main Condition
Kitchen,Main,Main,Main Condition
Laptop,Main,Main,Main Condition
Large (>1500mm x 2000mm),Planter Box Main,Main,Main Condition
Large Memorial,Artwork Lighting Main,Main,Main Condition
Large Memorial,Artwork Main,Main,Main Condition
Large Memorial,Artwork Main,Main,Structural Condition
Large Memorial,Artwork Main,Main,Surface Condition
Leased Building,Fire Services,Fire,Fire Condition
LED,Bracket,Bracket,Bracket Condition
LED,Luminaire,Luminaire,Luminaire Condition
LED,Luminaire,Luminaire,Main Condition
LED,Primary Luminaire,Luminaire,Luminaire Condition
LED,Primary Luminaire,Luminaire,Main Condition
LED Strip,LE Luminaire,LE Luminaire,LE Luminaire Condition
Library Equipment,Main,Main,Main Condition
Light Bollard,LE Luminaire,LE Luminaire,LE Luminaire Condition
Light Bollard,LE Luminaire Cable,LE Luminaire Cable,LE Luminaire Cable Condition
Light Bollard,LE Luminaire Conduit,LE Luminaire Conduit,LE Luminaire Conduit Condition
Lighting Panel,Lighting Control,Lighting Control,Lighting Control Condition
Low Gardens Retaining Wall,Retaining Wall Main,Main,Main Condition
Macadam Pavement (High Volume),01 Wearing Course,01 Wearing Course,Main Condition
Macadam Pavement (High Volume),01 Wearing Course,01 Wearing Course,Surface Condition
Macadam Pavement (High Volume),02 Intermediate Course,02 Intermediate Course,Main Condition
Macadam Pavement (High Volume),02 Intermediate Course,02 Intermediate Course,Pavement Base Condition
Macadam Pavement (High Volume),03 Base Course,03 Base Course,Pavement Subbase Condition
Macadam Pavement (High Volume),04 Working Platform,04 Working Platform,Formation Condition
Macadam Pavement (Low Volume),01 Wearing Course,01 Wearing Course,Main Condition
Macadam Pavement (Low Volume),01 Wearing Course,01 Wearing Course,Pavement Base Condition
Macadam Pavement (Low Volume),01 Wearing Course,01 Wearing Course,Surface Condition
Macadam Pavement (Low Volume),01 Wearing Course,01 Wearing Course,Wearing Course Condition (SCI)
Macadam Pavement (Low Volume),02 Intermediate Course,02 Intermediate Course,Pavement Base Condition
Macadam Pavement (Low Volume),03 Base Course,03 Base Course,Main Condition
Macadam Pavement (Low Volume),03 Base Course,03 Base Course,Pavement Subbase Condition
Main,Pipe Main,Main,Main Condition
Main,Pipe Main,Main,Sewer Main Condition
Main,Stormwater Drain Main,Lid,Lid Condition
Main,Stormwater Drain Main,Main,Main Condition
Main Switchboard - Above Ground - Large,LE Main Switchboard - Above Ground - Large,LE Main Switchboard - Above Ground - Large,Switchboard Condition
Main Switchboard - Above Ground - Medium,LE Main Switchboard - Above Ground - Medium,LE Main Switchboard - Above Ground - Medium,Switchboard Condition
Main Switchboard - Above Ground - Size TBC,LE Main Switchboard - Above Ground - Size TBC,LE Main Switchboard - Above Ground - Size TBC,Switchboard Condition
Main Switchboard - Above Ground - Small,LE Main Switchboard - Above Ground - Small,LE Main Switchboard - Above Ground - Small,Switchboard Condition
Main Switchboard - Above Ground - Victoria Square - Large,LE Main Switchboard - Above Ground - Victoria Square - Large,LE Main Switchboard - Above Ground - Victoria Square - Large,Switchboard Condition
Main Switchboard - Below Ground,LE Main Switchboard - Below Ground,LE Main Switchboard - Below Ground,Switchboard Condition
Main Switchboard - Wall Mounted - Small,LE Main Switchboard - Wall Mounted - Small,LE Main Switchboard - Wall Mounted - Small,Switchboard Condition
Mains BBQ,BBQ Main,Main,Main Condition
Mains BBQ,BBQ Main,Main,Structural Compliance Condition
Mains BBQ,BBQ Main,Main,Structural Condition
Mains BBQ,BBQ Main,Main,Surface Damage Condition
Mains BBQ,Power Outlet Main,Ancillary,Ancillary Condition
Major Footbridge,Abutment,Sub-Structure Other,Main Condition
Major Footbridge,Abutment,Sub-Structure Other,Significance
Major Footbridge,Batter Protection,Sub-Structure Other,Main Condition
Major Footbridge,Batter Protection,Sub-Structure Other,Significance
Major Footbridge,Bearings,Super Structure Other,Main Condition
Major Footbridge,Bearings,Super Structure Other,Significance
Major Footbridge,Bridge Footpath,Bridge Footpath,Main Condition
Major Footbridge,Bridge Footpath,Bridge Footpath,Significance
Major Footbridge,Bridge Railing,Rail,Rail Condition
Major Footbridge,Bridge Railing,Rail,Significance
Major Footbridge,Column or Piles,Sub-Structure Other,Main Condition
Major Footbridge,Column or Piles,Sub-Structure Other,Significance
Major Footbridge,Cross Bracing,Super Structure Other,Main Condition
Major Footbridge,Cross Bracing,Super Structure Other,Significance
Major Footbridge,Deck Joints,Super Structure Other,Main Condition
Major Footbridge,Deck Joints,Super Structure Other,Significance
Major Footbridge,Deck Joints2,Super Structure Other,Main Condition
Major Footbridge,Deck Joints2,Super Structure Other,Significance
Major Footbridge,Deck Slab,Bridge Deck,Deck Condition
Major Footbridge,Deck Slab,Bridge Deck,Significance
Major Footbridge,Deck Truss,Super Structure Other,Main Condition
Major Footbridge,Deck Truss,Super Structure Other,Significance
Major Footbridge,Girder Cladding,Super Structure Other,Main Condition
Major Footbridge,Girder Cladding,Super Structure Other,Significance
Major Footbridge,Open Girders,Super Structure Other,Main Condition
Major Footbridge,Open Girders,Super Structure Other,Significance
Major Footbridge,Precast Girders,Super Structure Other,Main Condition
Major Footbridge,Precast Girders,Super Structure Other,Significance
Major Footbridge,Wingwall/Retaining Wall,Wingwall,Main Condition
Major Footbridge,Wingwall/Retaining Wall,Wingwall,Significance
Mast arm Pole,Pole Main,Main,Main Condition
Median Island,Kerb Main,Main,Main Condition
Medians,Streetscape Main,Main,Main Condition
Medium (<=1500mm x 2000mm),Planter Box Main,Main,Main Condition
Medium (<=1500mm x 2000mm),Tree Main,Main,Consequence of Failure
Medium (<=1500mm x 2000mm),Tree Main,Main,Likelihood Matrix
Medium (<=1500mm x 2000mm),Tree Main,Main,Likelihood of Failure
Medium (<=1500mm x 2000mm),Tree Main,Main,Likelihood of Impact
Medium (<=1500mm x 2000mm),Tree Main,Main,Risk Rating Matrix
Meeting Room Equipment,Main,Main,Main Condition
Memorial,Drinking Fountain Main,Main,Main Condition
Memorial,Drinking Fountain Main,Main,Structural Compliance Condition
Memorial,Drinking Fountain Main,Main,Structural Condition
Memorial,Drinking Fountain Main,Main,Surface Damage Condition
Mercury Vapour,LE Luminaire,LE Luminaire,LE Luminaire Condition
Metal Enclosure,CCTV Equipment Enclosure,Main,Main Condition
Metal Halide,LE Luminaire,LE Luminaire,LE Luminaire Condition
Metered,People Movement Sensor,Main,Main Condition
MetroLite,Parking Machine Main,Main,Main Condition
MIMS Wiring on Structure,Cable,Main,Main Condition
MIMS Wiring on Structure,Conduit,Main,Main Condition
Minor Footbridge,Abutment / Wingwall 1,Wingwall,Main Condition
Minor Footbridge,Abutment / Wingwall 1,Wingwall,Significance
Minor Footbridge,Abutment 1,Sub-Structure Other,Main Condition
Minor Footbridge,Abutment 1,Sub-Structure Other,Significance
Minor Footbridge,Abutment 2,Sub-Structure Other,Main Condition
Minor Footbridge,Abutment 2,Sub-Structure Other,Significance
Minor Footbridge,Apron,Super Structure Other,Main Condition
Minor Footbridge,Apron,Super Structure Other,Significance
Minor Footbridge,Batter Protection 1,Sub-Structure Other,Main Condition
Minor Footbridge,Batter Protection 1,Sub-Structure Other,Significance
Minor Footbridge,Batter Protection 2,Sub-Structure Other,Main Condition
Minor Footbridge,Batter Protection 2,Sub-Structure Other,Significance
Minor Footbridge,Deck / Slab,Bridge Deck,Deck Condition
Minor Footbridge,Deck / Slab,Bridge Deck,Significance
Minor Footbridge,Deck / Wearing Surface,01 Wearing Course,Significance
Minor Footbridge,Deck / Wearing Surface,01 Wearing Course,Surface Condition
Minor Footbridge,Handrails 1,Rail,Rail Condition
Minor Footbridge,Handrails 1,Rail,Significance
Minor Footbridge,Outlet Protection,Sub-Structure Other,Main Condition
Minor Footbridge,Outlet Protection,Sub-Structure Other,Significance
Minor Footbridge,Piers,Sub-Structure Other,Main Condition
Minor Footbridge,Piers,Sub-Structure Other,Significance
Minor Footbridge,Primary Beams or Trusses,Super Structure Other,Main Condition
Minor Footbridge,Primary Beams or Trusses,Super Structure Other,Significance
Minor Footbridge,Secondary Beams or Joists,Super Structure Other,Main Condition
Minor Footbridge,Secondary Beams or Joists,Super Structure Other,Significance
Minor Footbridge,Span 1 Arch 1,Super Structure Other,Main Condition
Minor Footbridge,Span 1 Arch 1,Super Structure Other,Significance
Minor Footbridge,Span 1 Deck / Slab,Bridge Deck,Deck Condition
Minor Footbridge,Span 1 Deck / Slab,Bridge Deck,Significance
Minor Footbridge,Span 1 Deck / Wearing Surface,Bridge Deck,Deck Condition
Minor Footbridge,Span 1 Deck / Wearing Surface,Bridge Deck,Significance
Minor Footbridge,Span 1 Deck/Slab,Bridge Deck,Deck Condition
Minor Footbridge,Span 1 Deck/Slab,Bridge Deck,Significance
Minor Footbridge,Span 1 Handrails 1,Rail,Rail Condition
Minor Footbridge,Span 1 Handrails 1,Rail,Significance
Minor Footbridge,Span 1 Handrails 2,Rail,Rail Condition
Minor Footbridge,Span 1 Handrails 2,Rail,Significance
Minor Footbridge,Span 1 Primary Beams or Trusses,Super Structure Other,Main Condition
Minor Footbridge,Span 1 Primary Beams or Trusses,Super Structure Other,Significance
Minor Footbridge,Span 1 Primary Beams or Trusses 1,Super Structure Other,Main Condition
Minor Footbridge,Span 1 Primary Beams or Trusses 1,Super Structure Other,Significance
Minor Footbridge,Span 1 Secondary Beams or Joists,Super Structure Other,Main Condition
Minor Footbridge,Span 1 Secondary Beams or Joists,Super Structure Other,Significance
Minor Footbridge,Span 1-3 Deck / Slab,Bridge Deck,Deck Condition
Minor Footbridge,Span 1-3 Deck / Slab,Bridge Deck,Significance
Minor Footbridge,Span 1-3 Kerb 1,Kerb,Main Condition
Minor Footbridge,Span 1-3 Kerb 1,Kerb,Significance
Minor Footbridge,Span 1-3 Primary Beams or Trusses,Super Structure Other,Main Condition
Minor Footbridge,Span 1-3 Primary Beams or Trusses,Super Structure Other,Significance
Minor Footbridge,Span 1-3 Secondary Beams or Joists,Super Structure Other,Main Condition
Minor Footbridge,Span 1-3 Secondary Beams or Joists,Super Structure Other,Significance
Minor Footbridge,Span 1-4 Deck / Slab,Bridge Deck,Deck Condition
Minor Footbridge,Span 1-4 Deck / Slab,Bridge Deck,Significance
Minor Footbridge,Span 1-4 Primary Beams or Trusses,Super Structure Other,Main Condition
Minor Footbridge,Span 1-4 Primary Beams or Trusses,Super Structure Other,Significance
Minor Footbridge,Span 1-4 Secondary Beams or Joists,Super Structure Other,Main Condition
Minor Footbridge,Span 1-4 Secondary Beams or Joists,Super Structure Other,Significance
Minor Footbridge,Span 1-5  Primary Beams or Trusses,Super Structure Other,Main Condition
Minor Footbridge,Span 1-5  Primary Beams or Trusses,Super Structure Other,Significance
Minor Footbridge,Span 1-5 Deck / Slab,Bridge Deck,Deck Condition
Minor Footbridge,Span 1-5 Deck / Slab,Bridge Deck,Significance
Minor Footbridge,Span 1-5 Handrails 1,Rail,Rail Condition
Minor Footbridge,Span 1-5 Handrails 1,Rail,Significance
Minor Footbridge,Span 1-5 Secondary Beams or Joists,Super Structure Other,Main Condition
Minor Footbridge,Span 1-5 Secondary Beams or Joists,Super Structure Other,Significance
Miscellaneous,Bird Bath Main,Main,Main Condition
Miscellaneous,Other Structures Main,Main,Main Condition
Monitor,Main,Main,Main Condition
Mountable Kerb,Kerb Main,Main,Main Condition
Mountable Kerb and Water Table,Kerb Main,Main,Main Condition
Multipurpose,Playground Equipment Main,Main,Main Condition
Multipurpose Court - Acrylic Surface ,Acrylic Surface,Main,Main Condition
Multipurpose Court - Acrylic Surface ,Asphalt Layer,Main,Main Condition
Multipurpose Court - Acrylic Surface ,Rubble Base,Main,Main Condition
Multipurpose Court - Asphalt Surface,Asphalt Layer,Main,Main Condition
Multipurpose Court - Asphalt Surface,Rubble Base,Main,Main Condition
Native,Garden Bed Main,Main,Main Condition
Netball Court,Netball Court Main,Main,Main Condition
Netball Court - Acrylic Surface,Acrylic Surface,Main,Main Condition
Netball Court - Acrylic Surface,Asphalt Layer,Main,Main Condition
Netball Court - Acrylic Surface,Rubble Base,Main,Main Condition
Netball Ring,Netball Ring,Main,Main Condition
Network Assets,Main,Main,Main Condition
Network Switch,Main,Main,Main Condition
Non Potable Water Pit,Holding Tank,Main,Main Condition
Non Potable Water Pit,Lid,Main,Main Condition
Non Potable Water Pit,Lockable Isolation Valve,Main,Main Condition
Non Potable Water Pit,Smart Water Meter,Main,Main Condition
Nonremovable,Bollard Main,Main,Main Condition
Nonremovable,Bollard Main,Main,Structural Compliance Condition
Nonremovable,Bollard Main,Main,Structural Condition
Nonremovable,Bollard Main,Main,Surface Damage Condition
Official,Flag Pole Main,Main,Main Condition
Official,Lighting Main,Main,Main Condition
On Prem,Main,Main,Main Condition
On Street Electric Vehicle Charging Station - Free Stand,Electric Vehicle Charging Station,Main,Main Condition
On Street Electric Vehicle Charging Station - Free Stand,On Street Electric Vehicle Charging Station - Free Stand,On Street Electric Vehicle Charging Station - Free Stand,On Street Electric Vehicle Charging Station - Free Stand Condition
On Street Electric Vehicle Charging Station - Wall Mounted,Electric Vehicle Charging Station,Main,Main Condition
On Street Electric Vehicle Charging Station - Wall Mounted,On Street Electric Vehicle Charging Station - Wall Mounted,On Street Electric Vehicle Charging Station - Wall Mounted,On Street Electric Vehicle Charging Station - Wall Mounted Condition
Open Channels,Open Channel Main,Main,Main Condition
Open Channels,Open Channels Main,Main,Main Condition
Ornamental Stream,Concrete Base,Main,Main Condition
P1,Pit Main,Main,Main Condition
P1,Pit Main,Main,Pit Condition
P2,Pit Main,Main,Main Condition
P2,Pit Main,Main,Pit Condition
P3,Pit Main,Main,Main Condition
P3,Pit Main,Main,Pit Condition
P4,Pit Main,Main,Main Condition
P4,Pit Main,Main,Pit Condition
P5,Pit Main,Main,Main Condition
P5,Pit Main,Main,Pit Condition
P6,Pit Main,Main,Main Condition
P6,Pit Main,Main,Pit Condition
P7,Pit Main,Main,Main Condition
P7,Pit Main,Main,Pit Condition
P8,Pit Main,Main,Main Condition
P8,Pit Main,Main,Pit Condition
Painting,Archives Main,Main,Main Condition
Park Lands  / Squares Decorations,Main,Main,Main Condition
Park Lands Plinth,Custom Sign Main,Main,Main Condition
Park Tree,Tree Base Treatment,Ancillary,Ancillary Condition
Park Tree,Tree Main,Main,Consequence of Failure
Park Tree,Tree Main,Main,Likelihood Matrix
Park Tree,Tree Main,Main,Likelihood of Failure
Park Tree,Tree Main,Main,Likelihood of Impact
Park Tree,Tree Main,Main,Main Condition
Park Tree,Tree Main,Main,Risk Rating Matrix
Pedestrian,Footpaths Main,Main,Main Condition
Pedestrian,Formation,04 Working Platform,Formation Condition
Pedestrian,Pavement Base,02 Intermediate Course,Pavement Base Condition
Pedestrian,Surface,01 Wearing Course,Surface Condition
Pedestrian Panel,Custom Sign Main,Main,Main Condition
Pedestrian Panel,Custom Sign Main,Main,Structural Compliance Condition
Pedestrian Panel,Custom Sign Main,Main,Structural Condition
Pedestrian Panel,Custom Sign Main,Main,Surface Damage Condition
Pedestrian Refuge,Kerb Main,Main,Main Condition
Pelco S5220-EG1,CCTV Camera,Main,Main Condition
Pelco S5220-EG1-X,CCTV Camera,Main,Main Condition
Pelco S6230-EG1,CCTV Camera,Main,Main Condition
Pelco S6230-EGL1,CCTV Camera,Main,Main Condition
Pelco S7230L-EW1,CCTV Camera,Main,Main Condition
Pelco S7230L-EW1,Wifi Supply Point,Main,Main Condition
PelcoIXP21,CCTV Camera,Main,Main Condition
Pendant,LE Luminaire,LE Luminaire,LE Luminaire Condition
Pendant,LE Luminaire Cable,LE Luminaire Cable,LE Luminaire Cable Condition
Perennials,Garden Bed Main,Main,Main Condition
Pergola,Other Structures Main,Main,Main Condition
Petanque - Gravel Surface,Gravel Surface,Main,Main Condition
Petanque Piste,Petanque Piste Main,Main,Main Condition
PIO,Main,Main,Main Condition
Pipe,Culvert Main,Main,Main Condition
Pipe Connection Point,Connection Main,Main,Main Condition
Pipe-Main,Pipe Main,Main,Main Condition
Plain Tubular Steel,Bollard Main,Main,Main Condition
Plain Tubular Steel,Bollard Main,Main,Structural Compliance Condition
Plain Tubular Steel,Bollard Main,Main,Structural Condition
Plain Tubular Steel,Bollard Main,Main,Surface Damage Condition
Planted Road Verge,Streetscape Main,Main,Main Condition
Planted Verges,Streetscape Main,Main,Main Condition
Planter Box,Streetscape Main,Main,Main Condition
Plastic Enclosure,CCTV Equipment Enclosure,Main,Main Condition
Platform,Other Structures Main,Main,Main Condition
Playground,Softfall - Rubberised,Main,Softfall Surface Condition
Playground,Softfall - Rubberised,Softfall,Softfall Surface Condition
Playground,Softfall - Woodchip,Softfall,Main Condition
Pod,CCTV Equipment Enclosure,Main,Main Condition
Pole Box,Custom Sign Main,Main,Main Condition
Pole Box (Cycle),Custom Sign Main,Main,Main Condition
Pole Box with a Custom Pole,Custom Sign Main,Main,Main Condition
Pole Mounted Directional Sign,Custom Sign Main,Main,Main Condition
Pole Mounted Directional Sign,Custom Sign Main,Main,Structural Compliance Condition
Pole Mounted Directional Sign,Custom Sign Main,Main,Structural Condition
Pole Mounted Directional Sign,Custom Sign Main,Main,Surface Damage Condition
Portrait,Archives Main,Main,Main Condition
Post,Drinking Fountain Main,Main,Main Condition
Post,Drinking Fountain Main,Main,Structural Compliance Condition
Post,Drinking Fountain Main,Main,Structural Condition
Post,Drinking Fountain Main,Main,Surface Damage Condition
Post Top Light - City Streets,LE Luminaire,LE Luminaire,LE Luminaire Condition
Post Top Light - City Streets,LE Luminaire Cable,LE Luminaire Cable,LE Luminaire Cable Condition
Post Top Light - City Streets,LE Luminaire Conduit,LE Luminaire Conduit,LE Luminaire Conduit Condition
Post Top Light - Park Lands,LE Luminaire,LE Luminaire,LE Luminaire Condition
Post Top Light - Park Lands,LE Luminaire Cable,LE Luminaire Cable,LE Luminaire Cable Condition
Post Top Light - Park Lands,LE Luminaire Conduit,LE Luminaire Conduit,LE Luminaire Conduit Condition
Post Top Light - Pendant,LE Luminaire,LE Luminaire,LE Luminaire Condition
Post Top Light - Pendant,LE Luminaire Cable,LE Luminaire Cable,LE Luminaire Cable Condition
Post Top Light - Pendant,LE Luminaire Conduit,LE Luminaire Conduit,LE Luminaire Conduit Condition
Post Top Light - Wall Mounted,LE Luminaire,LE Luminaire,LE Luminaire Condition
Post Top Light - Wall Mounted,LE Luminaire Cable,LE Luminaire Cable,LE Luminaire Cable Condition
Post Top Light - Wall Mounted,Luminaire,Luminaire,Luminaire Condition
Post Top Pole - City Streets,LE Light Pole,LE Light Pole,LE Light Pole Condition
Post Top Pole - Park Lands,LE Light Pole,LE Light Pole,LE Light Pole Condition
Post Top Pole - Park Lands,Pole,Main,Main Condition
Potable Water Pit,Lid,Main,Main Condition
Potable Water Pit,Lockable Isolation Valve,Main,Main Condition
Potable Water Pit,Pit Main,Main,Main Condition
Potable Water Pit,Smart Water Meter,Main,Main Condition
Potable Water Pit,Vent Pipe,Main,Main Condition
Potable Water Pit,Vent Pt Main,Main,Main Condition
Power Bollard - Above Ground,LE Power Bollard - Above Ground,LE Power Bollard - Above Ground,Switchboard Condition
Power Outlet,LE Power Outlet,LE Power Outlet,Switchboard Condition
Projector,LE Luminaire,LE Luminaire,LE Luminaire Condition
Projector,LE Luminaire Cable,LE Luminaire Cable,LE Luminaire Cable Condition
Projector,LE Luminaire Conduit,LE Luminaire Conduit,LE Luminaire Conduit Condition
Property Connection,Connection Main,Main,Main Condition
